date,duration_sec,subject,age,gender,virtual sickness_1_discomfort,virtual_sickness_2_fatigue,virtual_sickness_3_eyestrain,virtual_sickness_4_difficultyfocusing,virtual_sickness_5_headache,virtual_sickness_6_fullnessofhead,virtual_sickness_7_blurredvision,virtual_sickness_8_dizzy,virtual_sickness_9_vertigo,spatial_presence_1_transported,spatial_presence_2_threedimensional,spatial_presence_3_realisticproportions,spatial_presence_4_movefreely,spatial_presence_5_physicallypresent,binge_drinking,brunch,burger,buckle_up,coffee,disobey_vape,distracted_driving,drugged_driving,drunk_driving,education_donation,furniture,hotel,lawyer,marijuana_driving,pizza,salad,smartphone,stop_smoking,texting_driving,underage_drinking,distractor_moonrise_hotel,distractor_pollen,distractor_exit_32,distractor_nhtsa,sum_fa
1/30/23 9:22,118,sub011,20,2,1,1,1,1,1,1,1,1,1,5,5,5,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1/30/23 12:28,91,sub012,19,2,1,1,1,1,1,1,1,1,1,4,4,4,4,4,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1/30/23 12:46,178,sub013,19,2,1,1,2,2,1,2,3,1,2,4,4,4,3,4,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0
1/31/23 7:34,183,sub014,20,1,1,1,1,1,1,1,1,1,1,4,3,4,4,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
1/31/23 11:10,218,sub015,21,1,2,1,2,1,1,2,3,2,1,2,3,4,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/31/23 9:58,144,sub016,20,1,1,1,1,2,1,1,1,1,1,5,5,4,3,4,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
1/31/23 13:11,141,sub017,21,2,2,1,2,1,1,2,2,1,1,4,3,4,5,4,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
1/31/23 15:13,171,sub018,21,2,1,1,2,2,1,1,2,1,1,4,4,2,3,2,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2/1/23 7:08,378,sub019,73,1,1,1,1,1,1,1,1,1,1,5,5,4,5,5,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
2/1/23 8:18,307,sub020,30,2,1,1,1,2,1,1,2,1,1,4,4,4,2,3,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
